품종,시장,법인,광역산지,시군산지,도매가격(원/kg),연,월
양파(일반),창원팔용도매,창원청과시장,부산,부산중구,1050.00,21,10
양파(일반),창원팔용도매,창원청과시장,경남,창원의창,944.13,21,10
양파(일반),진주도매,진주중앙청과,경남,합천,742.85,21,10
양파(일반),진주도매,진주중앙청과,경남,산청,783.48,21,10
양파(일반),진주도매,진주중앙청과,경남,사천,804.00,21,10
양파(일반),강릉도매,강릉농산물,전남,무안,1105.13,21,10
양파(일반),강릉도매,강릉농산물,경남,합천,1027.33,21,10
양파(일반),원주도매,합동청과,경북,의성,985.24,21,10
양파(일반),원주도매,합동청과,경북,영주,958.33,21,10
양파(일반),충주도매,충주중원청과,경남,함양,850.00,21,10
양파(일반),충주도매,충주중원청과,충북,제천,1133.81,21,10
기타,서울가락도매,서울청과,전남,무안,945.78,21,10
기타,서울가락도매,농협가락,강원,인제,663.64,21,10
기타,서울가락도매,서울청과,경기,여주,2300.00,21,10
기타,대구북부도매,대구경북원예농협,경남,창녕,800.00,21,10
기타,대구북부도매,대구경북원예농협,경북,칠곡,750.00,21,10
기타,구리도매,구리청과,경기,구리,761.78,21,10
기타,구리도매,인터넷청과,전남,무안,860.00,21,10
기타,부산엄궁도매,농협부산,경남,합천,725.00,21,10
기타,부산엄궁도매,농협부산,부산,사상,750.00,21,10
기타,부산엄궁도매,농협부산,경남,함양,750.00,21,10
기타,부산반여도매,동부청과,경남,김해,783.06,21,10
기타,부산반여도매,동부청과,경남,창원의창,479.83,21,10
기타,부산반여도매,동부청과,경북,군위,630.00,21,10
기타,인천남촌도매,덕풍청과,경북,고령,950.00,21,10
기타,인천남촌도매,덕풍청과,충남,당진,650.00,21,10
기타,수원도매,수원원협,전남,해남,909.17,21,10
기타,광주서부도매,두레청과,광주,광주서구,750.00,21,10
기타,청주도매,충북원협청주,경남,합천,856.67,21,10
기타,청주도매,충북원협청주,전남,무안,925.00,21,10
기타,청주도매,충북원협청주,충북,청주흥덕,850.00,21,10
기타,청주도매,충북원협청주,충북,보은,885.00,21,10
기타,청주도매,충북원협청주,경북,김천,816.00,21,10
기타,순천도매,순천원협,전북,남원,835.00,21,10
기타,천안도매,천안농협,서울,서울중구,101.43,21,10
기타,익산도매,익산원예농협,전북,익산,697.06,21,10
기타,전주도매,전주원협,전북,전주덕진,791.85,21,10
기타,전주도매,전주원협,전북,완주,916.67,21,10
기타,전주도매,전주원협,경남,함양,740.33,21,10
기타,전주도매,전주원협,전북,익산,582.50,21,10
기타,창원내서도매,마산청과시장,경남,창녕,805.55,21,10
기타,창원내서도매,창원원협,경남,창녕,923.53,21,10
기타,창원내서도매,마산청과시장,경남,창원진해,766.11,21,10
기타,창원내서도매,창원원협,경남,의령,709.78,21,10
기타,창원내서도매,마산청과시장,경남,창원마산회원,1297.98,21,10
기타,창원팔용도매,농협창원,대구,대구중구,816.68,21,10
기타,창원팔용도매,농협창원,전북,남원,828.00,21,10
기타,진주도매,진주농협,경남,진주,883.33,21,10
기타,진주도매,진주농협,경남,함양,853.33,21,10
기타,춘천도매,춘천원협,강원,횡성,1003.57,21,10
기타,춘천도매,춘천원협,강원,춘천,996.81,21,10
기타,춘천도매,춘천원협,서울,송파,1006.00,21,10
기타,충주도매,충북원협충주,경북,안동,739.62,21,10
기타,포항도매,대구경북능금원협,경북,영천,725.00,21,10
기타,구미도매,구미농협,경북,구미,793.52,21,10
기타,구미도매,구미농협,경북,김천,946.67,21,10
기타,정읍도매,정읍원협,전북,정읍,755.00,21,10
기타,정읍도매,정읍원협,광주,광주서구,1053.00,21,10
기타,안동도매,안동농협,경북,안동,781.55,21,10
기타,안동도매,안동농협,경북,의성,1044.00,21,10
저장양파,서울가락도매,한국청과,전남,무안,785.60,21,10
저장양파,서울가락도매,동화청과,전남,무안,786.25,21,10
저장양파,서울가락도매,한국청과,전남,함평,803.29,21,10
저장양파,서울가락도매,동화청과,전남,함평,809.60,21,10
저장양파,서울가락도매,중앙청과,전남,무안,807.47,21,10
저장양파,서울가락도매,한국청과,전북,부안,679.59,21,10
저장양파,서울가락도매,동화청과,전남,신안,790.28,21,10
저장양파,서울가락도매,중앙청과,전남,신안,694.18,21,10
저장양파,서울가락도매,중앙청과,전북,부안,776.17,21,10
저장양파,서울가락도매,한국청과,전북,완주,706.32,21,10
저장양파,서울가락도매,동화청과,충남,당진,817.17,21,10
저장양파,서울가락도매,한국청과,경북,고령,874.17,21,10
저장양파,서울가락도매,동화청과,경북,고령,897.86,21,10
저장양파,서울가락도매,한국청과,경북,김천,683.53,21,10
저장양파,서울가락도매,중앙청과,경기,안성,734.39,21,10
저장양파,서울강서도매,농협강서,경북,문경,916.67,21,10
저장양파,광주각화도매,광주청과,전남,무안,763.41,21,10
저장양파,광주각화도매,광주청과,광주,광주북구,862.00,21,10
저장양파,광주각화도매,광주원예농협,광주,광주북구,736.84,21,10
만생양파,서울가락도매,농협가락,전남,무안,674.62,21,10
만생양파,서울가락도매,서울청과,전북,부안,891.62,21,10
만생양파,서울가락도매,서울청과,전남,무안,788.53,21,10
만생양파,서울가락도매,서울청과,전남,함평,767.85,21,10
만생양파,서울가락도매,서울청과,경기,여주,1600.00,21,10
만생양파,서울가락도매,농협가락,강원,인제,620.17,21,10
만생양파,서울가락도매,서울청과,강원,평창,1534.33,21,10
만생양파,구리도매,인터넷청과,전남,무안,830.68,21,10
만생양파,구리도매,인터넷청과,부산,부산강서,950.00,21,10
만생양파,부산엄궁도매,항도청과,경남,창녕,700.00,21,10
만생양파,부산엄궁도매,항도청과,경남,합천,700.00,21,10
만생양파,광주각화도매,광주중앙청과,전남,함평,812.74,21,10
만생양파,광주각화도매,광주중앙청과,전남,무안,780.44,21,10
만생양파,광주각화도매,광주중앙청과,광주,광산,800.00,21,10
만생양파,부산반여도매,부산중앙청과,경남,창녕,814.11,21,10
만생양파,부산반여도매,부산중앙청과,부산,부산중구,939.60,21,10
만생양파,부산반여도매,부산중앙청과,경남,밀양,757.16,21,10
만생양파,수원도매,수원청과물,전남,무안,828.95,21,10
만생양파,울산도매,울산원예농협,울산,울주,747.69,21,10
만생양파,울산도매,울산원예농협,울산,울산중구,903.80,21,10
자주양파,서울가락도매,한국청과,전남,무안,975.98,21,10
자주양파,대구북부도매,효성청과,경남,창녕,935.51,21,10
자주양파,인천삼산도매,인천원협삼산,전남,무안,850.00,21,10
자주양파,대전오정도매,농협대전,경남,합천,305.00,21,10
자주양파,대전오정도매,농협대전,경기,화성,958.33,21,10
깐양파,서울가락도매,중앙청과,경기,양주,1297.66,21,10
깐양파,서울가락도매,한국청과,전남,영암,1185.37,21,10
깐양파,서울가락도매,중앙청과,경기,안성,1300.00,21,10
깐양파,익산도매,이리청과,전북,익산,619.23,21,10
깐양파,전주도매,전주원협,전북,전주덕진,837.56,21,10
깐양파,창원내서도매,창원원협,경남,의령,550.00,21,10
깐양파,창원팔용도매,창원청과시장,경남,창원의창,1121.43,21,10
깐양파,강릉도매,강릉농산물,충남,서산,1400.00,21,10
깐양파,강릉도매,강릉농산물,전남,무안,1400.00,21,10
깐양파,춘천도매,춘천원협,강원,춘천,1314.78,21,10
깐양파,충주도매,충주중원청과,충북,충주,700.00,21,10
깐양파,구미도매,구미농협,경북,김천,722.50,21,10
양파(일반),서울가락도매,한국청과,경기,이천,649.30,21,09
양파(일반),대구북부도매,효성청과,경북,고령,725.21,21,09
양파(일반),대구북부도매,효성청과,경남,창녕,790.33,21,09
양파(일반),대구북부도매,대양청과,경북,의성,775.52,21,09
양파(일반),대구북부도매,대양청과,경남,창녕,811.03,21,09
양파(일반),대구북부도매,대양청과,경남,합천,773.44,21,09
양파(일반),대구북부도매,효성청과,경남,합천,739.45,21,09
양파(일반),대구북부도매,대양청과,경남,함양,689.21,21,09
양파(일반),대구북부도매,효성청과,경북,의성,807.38,21,09
양파(일반),대구북부도매,대양청과,경북,구미,729.23,21,09
양파(일반),대구북부도매,대양청과,경북,영천,804.59,21,09
양파(일반),대구북부도매,대양청과,대구,대구중구,762.11,21,09
양파(일반),대구북부도매,대양청과,경북,고령,705.91,21,09
양파(일반),대구북부도매,대양청과,경북,김천,788.14,21,09
양파(일반),대구북부도매,대양청과,경북,군위,677.54,21,09
양파(일반),대구북부도매,효성청과,경북,영천,890.58,21,09
양파(일반),대구북부도매,효성청과,대구,달성,763.20,21,09
양파(일반),대구북부도매,효성청과,경북,칠곡,826.55,21,09
양파(일반),대구북부도매,대구중앙청과,경북,영천,966.67,21,09
양파(일반),대구북부도매,대양청과,전남,해남,782.19,21,09
양파(일반),대구북부도매,효성청과,경남,함양,782.83,21,09
양파(일반),대구북부도매,효성청과,경북,군위,626.71,21,09
양파(일반),대구북부도매,효성청과,전남,무안,712.88,21,09
양파(일반),대구북부도매,효성청과,전남,해남,710.94,21,09
양파(일반),대구북부도매,효성청과,경기,양주,808.08,21,09
양파(일반),대구북부도매,효성청과,경북,경산,889.44,21,09
양파(일반),대구북부도매,대양청과,경북,성주,715.64,21,09
양파(일반),대구북부도매,대양청과,경북,안동,588.16,21,09
양파(일반),대구북부도매,대구중앙청과,대구,달성,636.48,21,09
양파(일반),대구북부도매,대구중앙청과,경북,경산,737.50,21,09
양파(일반),대구북부도매,효성청과,경남,밀양,704.34,21,09
양파(일반),대구북부도매,대구중앙청과,경북,군위,800.00,21,09
양파(일반),대구북부도매,대양청과,경북,영주,548.49,21,09
양파(일반),대구북부도매,효성청과,경북,성주,675.00,21,09
양파(일반),대구북부도매,효성청과,경북,안동,575.00,21,09
양파(일반),대구북부도매,효성청과,경북,구미,615.00,21,09
양파(일반),대구북부도매,대구중앙청과,경남,합천,441.89,21,09
양파(일반),대구북부도매,대구중앙청과,경남,창녕,951.22,21,09
양파(일반),대구북부도매,대양청과,대구,달성,250.00,21,09
양파(일반),구리도매,인터넷청과,전남,무안,895.93,21,09
양파(일반),부산엄궁도매,부산청과,경남,창녕,779.19,21,09
양파(일반),부산엄궁도매,부산청과,경남,함양,799.97,21,09
양파(일반),부산엄궁도매,부산청과,경북,의성,812.72,21,09
양파(일반),부산엄궁도매,부산청과,부산,부산중구,900.00,21,09
양파(일반),부산엄궁도매,부산청과,경남,합천,752.99,21,09
양파(일반),부산엄궁도매,부산청과,경남,함안,827.33,21,09
양파(일반),부산엄궁도매,부산청과,경남,밀양,795.45,21,09
양파(일반),부산엄궁도매,부산청과,경북,경산,694.14,21,09
양파(일반),부산엄궁도매,부산청과,경북,안동,895.39,21,09
양파(일반),부산엄궁도매,부산청과,경남,산청,685.24,21,09
양파(일반),부산엄궁도매,부산청과,경남,의령,468.64,21,09
양파(일반),부산엄궁도매,부산청과,경북,군위,750.00,21,09
양파(일반),부산엄궁도매,부산청과,경북,영천,790.00,21,09
양파(일반),서울강서도매,농협강서,전남,무안,1145.11,21,09
양파(일반),서울강서도매,농협강서,경북,상주,1058.63,21,09
양파(일반),서울강서도매,농협강서,전남,함평,1280.16,21,09
양파(일반),서울강서도매,농협강서,경남,창녕,1312.71,21,09
양파(일반),서울강서도매,농협강서,경남,합천,838.78,21,09
양파(일반),서울강서도매,농협강서,경남,함양,621.39,21,09
양파(일반),서울강서도매,농협강서,경북,영주,774.00,21,09
양파(일반),서울강서도매,농협강서,충남,홍성,717.35,21,09
양파(일반),서울강서도매,농협강서,충남,당진,785.00,21,09
양파(일반),광주각화도매,광주원예농협,광주,광주북구,546.75,21,09
양파(일반),광주각화도매,광주원예농협,전남,함평,598.87,21,09
양파(일반),광주각화도매,광주원예농협,전남,신안,623.81,21,09
양파(일반),광주각화도매,광주원예농협,광주,광산,578.19,21,09
양파(일반),광주각화도매,광주원예농협,강원,춘천,543.33,21,09
양파(일반),광주각화도매,광주원예농협,전남,영암,560.00,21,09
양파(일반),광주각화도매,광주원예농협,전남,무안,550.00,21,09
양파(일반),광주각화도매,광주원예농협,전남,장성,550.00,21,09
양파(일반),광주각화도매,광주원예농협,광주,광주서구,493.90,21,09
양파(일반),인천삼산도매,경인농산,경북,문경,969.83,21,09
양파(일반),인천삼산도매,부평농산,전남,무안,891.66,21,09
양파(일반),인천삼산도매,인천원협삼산,전남,무안,912.53,21,09
양파(일반),인천삼산도매,경인농산,경남,창원의창,793.52,21,09
양파(일반),인천삼산도매,경인농산,전남,함평,846.89,21,09
양파(일반),인천삼산도매,경인농산,전남,무안,855.65,21,09
양파(일반),인천삼산도매,부평농산,경북,의성,838.28,21,09
양파(일반),인천삼산도매,인천원협삼산,경남,김해,793.21,21,09
양파(일반),인천삼산도매,부평농산,전북,고창,902.43,21,09
양파(일반),인천삼산도매,인천원협삼산,경북,김천,804.18,21,09
양파(일반),인천삼산도매,경인농산,경북,안동,680.95,21,09
양파(일반),인천삼산도매,부평농산,경남,합천,817.42,21,09
양파(일반),인천삼산도매,인천원협삼산,경북,군위,800.00,21,09
양파(일반),인천삼산도매,인천원협삼산,경남,합천,812.50,21,09
양파(일반),인천삼산도매,경인농산,경기,수원팔달,765.62,21,09
양파(일반),인천삼산도매,경인농산,경남,거창,815.64,21,09
양파(일반),인천삼산도매,경인농산,충남,서산,532.92,21,09
양파(일반),인천삼산도매,부평농산,부산,부산강서,895.73,21,09
양파(일반),인천삼산도매,경인농산,전북,김제,833.33,21,09
양파(일반),인천삼산도매,부평농산,인천,부평,912.42,21,09
양파(일반),인천삼산도매,경인농산,충남,홍성,577.30,21,09
양파(일반),인천삼산도매,부평농산,전북,완주,1086.08,21,09
양파(일반),인천삼산도매,부평농산,충남,논산,661.59,21,09
양파(일반),인천삼산도매,인천원협삼산,충남,당진,736.11,21,09
양파(일반),인천삼산도매,경인농산,충북,단양,750.00,21,09
양파(일반),인천삼산도매,인천원협삼산,충남,논산,450.00,21,09
양파(일반),인천삼산도매,경인농산,충남,당진,600.00,21,09
양파(일반),부산반여도매,농협반여,경남,창녕,857.00,21,09
양파(일반),부산반여도매,농협반여,경남,의령,838.88,21,09
양파(일반),부산반여도매,농협반여,경기,양주,801.44,21,09
양파(일반),부산반여도매,농협반여,경북,의성,785.13,21,09
양파(일반),부산반여도매,농협반여,부산,해운대,805.44,21,09
양파(일반),부산반여도매,농협반여,부산,연제,868.91,21,09
양파(일반),부산반여도매,농협반여,경남,창원의창,724.15,21,09
양파(일반),부산반여도매,농협반여,경북,경산,835.13,21,09
양파(일반),부산반여도매,농협반여,경북,상주,591.79,21,09
양파(일반),부산반여도매,농협반여,경북,군위,617.67,21,09
양파(일반),부산반여도매,농협반여,전북,남원,762.50,21,09
양파(일반),부산반여도매,농협반여,경남,밀양,775.00,21,09
양파(일반),대전노은도매,대전중앙청과,경남,합천,850.94,21,09
양파(일반),대전노은도매,대전원협,대전,유성,749.33,21,09
양파(일반),대전노은도매,대전원협,경북,김천,889.98,21,09
양파(일반),대전노은도매,대전중앙청과,경남,창녕,749.92,21,09
양파(일반),대전노은도매,대전원협,경남,함양,819.28,21,09
양파(일반),대전노은도매,대전원협,대전,대전서구,731.10,21,09
양파(일반),대전노은도매,대전중앙청과,경남,함양,861.60,21,09
양파(일반),대전노은도매,대전원협,경남,김해,820.27,21,09
양파(일반),대전노은도매,대전원협,전남,무안,892.13,21,09
양파(일반),대전노은도매,대전중앙청과,전남,무안,829.52,21,09
양파(일반),대전노은도매,대전원협,경북,영천,873.78,21,09
양파(일반),대전노은도매,대전중앙청과,전남,함평,720.00,21,09
양파(일반),대전노은도매,대전중앙청과,전북,완주,750.48,21,09
양파(일반),대전노은도매,대전원협,대구,달성,860.00,21,09
양파(일반),대전노은도매,대전원협,경북,칠곡,846.94,21,09
양파(일반),대전노은도매,대전원협,경기,양주,795.50,21,09
양파(일반),대전노은도매,대전중앙청과,전북,익산,766.46,21,09
양파(일반),대전노은도매,대전원협,충남,논산,808.32,21,09
양파(일반),대전노은도매,대전중앙청과,경북,고령,962.50,21,09
양파(일반),대전노은도매,대전원협,경남,밀양,627.50,21,09
양파(일반),대전노은도매,대전중앙청과,전북,남원,791.25,21,09
양파(일반),대전노은도매,대전중앙청과,충남,논산,822.34,21,09
양파(일반),대전노은도매,대전원협,충남,금산,652.50,21,09
양파(일반),대전노은도매,대전원협,서울,송파,2137.00,21,09
양파(일반),대전오정도매,농협대전,전남,무안,929.34,21,09
양파(일반),대전오정도매,농협대전,경남,창녕,782.03,21,09
양파(일반),대전오정도매,농협대전,경남,함양,791.26,21,09
양파(일반),대전오정도매,대전청과,경남,함양,788.90,21,09
양파(일반),대전오정도매,대전청과,경남,합천,778.91,21,09
양파(일반),대전오정도매,대전청과,충북,보은,777.07,21,09
양파(일반),대전오정도매,농협대전,전북,완주,779.35,21,09
양파(일반),대전오정도매,대전청과,경북,김천,805.30,21,09
양파(일반),대전오정도매,농협대전,경남,합천,676.21,21,09
양파(일반),대전오정도매,대전청과,대구,대구중구,819.10,21,09
양파(일반),대전오정도매,대전청과,경북,구미,820.07,21,09
양파(일반),대전오정도매,대전청과,경남,창원의창,793.83,21,09
양파(일반),대전오정도매,농협대전,대전,대덕,921.08,21,09
양파(일반),대전오정도매,대전청과,경북,안동,760.47,21,09
양파(일반),대전오정도매,농협대전,경기,화성,871.84,21,09
양파(일반),대전오정도매,농협대전,경북,고령,1045.70,21,09
양파(일반),대전오정도매,농협대전,경북,군위,817.50,21,09
양파(일반),대전오정도매,농협대전,경남,산청,762.49,21,09
양파(일반),대전오정도매,농협대전,대구,수성,748.78,21,09
양파(일반),대전오정도매,농협대전,대전,대전서구,738.33,21,09
양파(일반),대전오정도매,농협대전,경북,영주,866.67,21,09
양파(일반),대전오정도매,농협대전,충남,부여,600.00,21,09
양파(일반),대전오정도매,농협대전,전북,익산,639.00,21,09
양파(일반),대전오정도매,대전청과,전남,무안,833.33,21,09
양파(일반),대전오정도매,대전청과,경기,이천,417.03,21,09
양파(일반),대전오정도매,농협대전,전북,군산,680.03,21,09
양파(일반),대전오정도매,대전청과,전북,익산,778.32,21,09
양파(일반),대전오정도매,농협대전,충남,공주,680.00,21,09
양파(일반),대전오정도매,농협대전,충남,논산,758.51,21,09
양파(일반),대전오정도매,농협대전,전남,해남,340.48,21,09
양파(일반),대전오정도매,대전청과,충남,논산,692.10,21,09
양파(일반),대전오정도매,농협대전,경북,의성,553.33,21,09
양파(일반),대전오정도매,농협대전,충북,옥천,632.70,21,09
양파(일반),대전오정도매,농협대전,충북,영동,720.00,21,09
양파(일반),인천남촌도매,인천원예농협남촌,전남,무안,922.04,21,09
양파(일반),인천남촌도매,인천원예농협남촌,부산,부산강서,919.99,21,09
양파(일반),인천남촌도매,인천원예농협남촌,경남,함양,872.41,21,09
양파(일반),인천남촌도매,인천원예농협남촌,경남,합천,824.71,21,09
양파(일반),인천남촌도매,대인농산,부산,부산강서,902.23,21,09
양파(일반),인천남촌도매,대인농산,전남,함평,879.17,21,09
양파(일반),인천남촌도매,대인농산,경남,합천,902.30,21,09
양파(일반),인천남촌도매,인천원예농협남촌,경남,창녕,835.00,21,09
양파(일반),인천남촌도매,대인농산,충남,논산,293.76,21,09
양파(일반),인천남촌도매,인천원예농협남촌,경기,화성,449.81,21,09
양파(일반),인천남촌도매,인천원예농협남촌,충남,당진,726.67,21,09
양파(일반),인천남촌도매,대인농산,충남,공주,908.00,21,09
양파(일반),수원도매,경기청과,경북,문경,971.54,21,09
양파(일반),수원도매,경기청과,경기,수원권선,921.97,21,09
양파(일반),수원도매,경기청과,부산,부산강서,950.00,21,09
양파(일반),광주서부도매,농협광주,전남,나주,833.22,21,09
양파(일반),광주서부도매,농협광주,전남,함평,807.67,21,09
양파(일반),광주서부도매,농협광주,경남,합천,840.39,21,09
양파(일반),광주서부도매,농협광주,전남,무안,777.57,21,09
양파(일반),광주서부도매,농협광주,광주,광주서구,785.78,21,09
양파(일반),광주서부도매,농협광주,충남,아산,775.97,21,09
양파(일반),광주서부도매,농협광주,전남,영암,815.00,21,09
양파(일반),광주서부도매,농협광주,전남,해남,825.00,21,09
양파(일반),광주서부도매,농협광주,전북,장수,500.00,21,09
양파(일반),광주서부도매,농협광주,전북,남원,849.29,21,09
양파(일반),안산도매,안산농산물,전남,함평,943.51,21,09
양파(일반),안산도매,안산농산물,광주,광주남구,875.45,21,09
양파(일반),안산도매,안산농산물,전남,무안,904.81,21,09
양파(일반),안산도매,안산농산물,충남,태안,833.33,21,09
양파(일반),청주도매,청주청과시장,전남,함평,961.32,21,09
양파(일반),청주도매,청주청과시장,전남,무안,988.57,21,09
양파(일반),청주도매,청주청과시장,충북,보은,814.03,21,09
양파(일반),청주도매,청주청과시장,충북,청주상당,779.17,21,09
양파(일반),청주도매,청주청과시장,부산,금정,800.00,21,09
양파(일반),청주도매,청주청과시장,경남,밀양,475.00,21,09
양파(일반),울산도매,울산중앙청과,경남,창녕,860.42,21,09
양파(일반),울산도매,울산중앙청과,경북,영천,860.39,21,09
양파(일반),울산도매,울산중앙청과,경북,영주,808.19,21,09
양파(일반),울산도매,울산중앙청과,경남,의령,838.05,21,09
양파(일반),울산도매,울산중앙청과,경북,칠곡,850.00,21,09
양파(일반),울산도매,울산중앙청과,경남,합천,805.70,21,09
양파(일반),울산도매,울산중앙청과,경남,창원의창,823.33,21,09
양파(일반),울산도매,울산중앙청과,경북,군위,820.87,21,09
양파(일반),천안도매,천안청과,전남,무안,805.26,21,09
양파(일반),천안도매,천안청과,경북,문경,1075.52,21,09
양파(일반),천안도매,천안청과,경남,합천,875.00,21,09
양파(일반),천안도매,천안청과,경기,안성,682.05,21,09
양파(일반),천안도매,천안청과,충남,태안,453.33,21,09
양파(일반),익산도매,이리청과,전북,익산,809.82,21,09
양파(일반),안양도매,안양농산물,전남,해남,857.83,21,09
양파(일반),안양도매,안양원협,경남,합천,888.54,21,09
양파(일반),안양도매,안양농산물,경북,문경,889.33,21,09
양파(일반),안양도매,안양원협,경북,문경,777.50,21,09
양파(일반),안양도매,안양농산물,전남,신안,935.08,21,09
양파(일반),안양도매,안양농산물,전남,함평,964.13,21,09
양파(일반),안양도매,안양농산물,전남,무안,861.08,21,09
양파(일반),안양도매,안양원협,부산,부산강서,1029.17,21,09
양파(일반),안양도매,안양농산물,부산,부산강서,1023.78,21,09
양파(일반),안양도매,안양원협,전남,무안,977.46,21,09
양파(일반),안양도매,안양원협,경북,안동,901.88,21,09
양파(일반),안양도매,안양원협,서울,서울중구,937.56,21,09
양파(일반),안양도매,안양원협,강원,원주,600.00,21,09
양파(일반),안양도매,안양농산물,충남,당진,764.04,21,09
양파(일반),안양도매,안양원협,충남,당진,838.71,21,09
양파(일반),안양도매,안양원협,충남,공주,588.24,21,09
양파(일반),창원팔용도매,창원청과시장,부산,부산중구,1035.16,21,09
양파(일반),창원팔용도매,창원청과시장,경남,창원의창,797.63,21,09
양파(일반),창원팔용도매,창원청과시장,경남,양산,780.16,21,09
양파(일반),창원팔용도매,창원청과시장,경남,밀양,887.50,21,09
양파(일반),창원팔용도매,창원청과시장,경북,의성,775.00,21,09
양파(일반),진주도매,진주중앙청과,경남,함양,807.74,21,09
양파(일반),진주도매,진주중앙청과,경북,군위,883.75,21,09
양파(일반),진주도매,진주중앙청과,경남,합천,773.40,21,09
양파(일반),진주도매,진주중앙청과,경남,사천,729.41,21,09
양파(일반),진주도매,진주중앙청과,경남,의령,603.79,21,09
양파(일반),진주도매,진주중앙청과,경남,진주,776.50,21,09
양파(일반),진주도매,진주중앙청과,경남,산청,634.86,21,09
양파(일반),진주도매,진주중앙청과,전북,장수,515.79,21,09
양파(일반),강릉도매,강릉농산물,경남,합천,917.79,21,09
양파(일반),강릉도매,강릉농산물,전남,무안,1219.96,21,09
양파(일반),강릉도매,강릉농산물,강원,동해,815.00,21,09
양파(일반),원주도매,합동청과,경북,의성,979.47,21,09
양파(일반),원주도매,합동청과,경북,영주,1025.68,21,09
양파(일반),원주도매,합동청과,전남,무안,948.06,21,09
양파(일반),원주도매,합동청과,강원,원주,951.64,21,09
양파(일반),원주도매,합동청과,경남,창녕,1059.20,21,09
양파(일반),충주도매,충주중원청과,경남,함양,825.00,21,09
양파(일반),충주도매,충주중원청과,충북,충주,1000.00,21,09
양파(일반),충주도매,충주중원청과,충북,제천,1161.93,21,09
양파(일반),충주도매,충주중원청과,경북,예천,693.89,21,09
양파(일반),충주도매,충주중원청과,경북,영주,748.08,21,09
